FID,GARBROUTE,GARBDAY,SHAPE_STAr,SHAPE_STLe,Shape__Area,Shape__Length
1,203,TF,10660146.1553,13348.6098944,1226239.81054688,4524.77595251489
2,209,TF,14448788.0012,16134.2675307,1661854.92578125,5466.82169652537
3,216,TF,10942544.7645,13485.8374799,1258427.80859375,4570.88160300444
4,207,TF,11525216.9727,14111.9370403,1325223.02539063,4788.8023887938
5,204,TF,14154348.9864,15908.0425731,1628100.36523438,5400.06209423659
6,116,MR,15581504.6928,18907.3263788,1792667.02539063,6416.11608509012
7,210,TF,14194049.459,16133.0514525,1632663.53320313,5476.66937917176
8,115,MR,33006453.1479,31364.092018,3797876.4453125,10636.1611938378
9,111,MR,18536177.7724,18805.3745368,2133395.65234375,6382.35048487256
10,110,MR,26130986.7053,26177.7365703,3007699.82421875,8886.40558474979
11,222,TF,12732391.8875,15864.7497676,1464602.51757813,5375.87085696353
12,119,MR,14570145.0112,16166.9374172,1676424.36914063,5478.95870120214
13,211,TF,15019962.2492,22123.0074491,1727764.5234375,7503.45045405788
14,122,MR,20416517.6092,21080.0102391,2348880.88671875,7150.75802394854
15,201,TF,13775357.0241,17078.7126136,1584490.23242188,5796.67004618203
16,215,TF,14266241.7037,16091.6946368,1640674.54101563,5452.25513007488
17,105,MR,20224780.626,23558.9973597,2328757.13671875,8005.3202531083
18,112,MR,21763244.7048,18846.4188411,2504823.29882813,6396.25923417079
19,213,TF,15408390.5016,17586.1276317,1771674.16601563,5970.85439164884
20,221,TF,18220076.8703,17110.0631673,2095843.60546875,5801.27766643009
21,223,TF,17451499.5153,27835.2338846,2006834.96484375,9436.20913699306
22,208,TF,14149212.2054,16840.3344625,1626808.59375,5712.02961942169
23,123,MR,17559541.7047,22209.1533421,2021393.69726563,7524.88522199172
24,220,MR,13560354.4507,16052.4303705,1560061.08984375,5441.15925659143
25,101,MR,47578815.3583,27952.0855483,5480129.01757813,9483.17385326864
26,104,MR,21557598.4918,18764.2903321,2482405.875,6369.94870239882
27,120,MR,13950018.5144,15952.6030729,1604876.55664063,5405.70240715697
28,106,MR,17446259.8549,17447.9486261,2008729.52929688,5924.0705468157
29,202,TF,14209819.5861,16156.9946999,1634580.7109375,5474.48725841543
30,109,MR,17689999.9265,17253.309023,2036568.61914063,5856.59422029318
31,205,TF,17506065.0892,17766.0251226,2012538.671875,6021.7340125053
32,117,MR,16176900.9048,19111.5372895,1861268.89648438,6490.84338307024
33,107,MR,24206374.6694,24507.5703714,2787449.53125,8313.60711313617
34,217,TF,11614155.7839,13999.326958,1335613.12695313,4750.42993009899
35,118,MR,14273434.6692,15788.5248814,1642497.21875,5350.80895133209
36,121,MR,39514789.0183,25165.0058925,4546487.6171875,8541.28378177273
37,214,TF,15110709.6265,18698.6221319,1738201.21484375,6334.35277443185
38,206,TF,18122242.0267,22050.2157151,2082898.875,7486.32404195463
39,102,MR,34325024.7849,33877.1331675,3953398.13867188,11497.9776375615
40,108,MR,13262246.6502,17019.681274,1526859.35351563,5775.54049349641
41,113,MR,18675740.2155,30557.4772207,2149542.546875,10363.2581625819
42,103,MR,118986864.331,45541.5515196,13698880.5136719,15456.1063568297
43,114,MR,203758497.207,84269.9295571,23444543.4414063,28564.7499212168
44,219,TF,266291971.055,90313.2713835,30618834.2734375,30594.8269119825
45,212,TF,143979191.468,57533.4569847,16547783.3828125,19479.7565543616
46,218,TF,72917654.6298,61876.6217868,8387065.65234375,20958.4761286757
